"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.00763625491959,0.0244440461568559,1.00886617757182,0.0220982329665281,0.996262131251835,0.0345077666522065
2,NA,0.994145113856967,0.0241291238476376,1.03864826216033,0.0214367792826109,1.01582115501612,0.0342578463509939
3,NA,1.01891720286249,0.0231627392136222,1.00692008355599,0.0203085427444427,0.964506917600707,0.0331878579343879
4,NA,0.990659214172832,0.0236888982887497,1.03436152387105,0.0210743735587126,0.986514021341893,0.0344324125105043
5,NA,1.02466280226043,0.0240694074529344,0.978061002380089,0.021333040423608,1.01476546302791,0.036841848063465
