"sim","censored","beta1_fd_reml","se_beta1_fd_reml","alpha_fd_reml","se_alpha_fd_reml","sigma2_fd_reml","se_sigma2_fd_reml"
1,NA,1.01951697290182,0.0226472760465404,1.00007551400044,0.00514457423984383,1.00326350294872,NA
2,NA,0.998155297600449,0.0215953632739406,0.999668931625417,0.000982033526123821,0.987751531662708,NA
3,NA,1.02787464637664,0.0214928197502221,0.99988053421548,0.00133399258654289,0.939749262847733,NA
4,NA,0.988803090620281,0.022497727506438,1.0137258041441,0.00648665196486771,0.980179001262297,NA
5,NA,1.02460140288499,0.0232623137495089,1.00440863095504,0.003950005358326,1.04106592575409,NA
