"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.01016471182198,0.0263632123677794,0.996736741845005,0.0257450159834648,0.988891079786233,0.0381807669419371
2,NA,0.996656584747795,0.0261257899144957,1.03396300437918,0.0254692963524864,1.00887618527099,0.0372662228254851
3,NA,1.02334697768066,0.0257255945600677,1.02227715290224,0.0248768167822267,0.973227431682498,0.0361989501138551
4,NA,0.991967344839151,0.0258521077219299,1.04775590429919,0.0260912614899029,0.992111116474272,0.0367485866410758
5,NA,1.01993243026191,0.0265475374311884,0.990915624821526,0.0267334170053021,1.02549495976583,0.0406622278610093
