"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.02991767089723,0.0293568239924916,1.0186537599983,0.0290752484566783,1.00839690379656,0.0430225531158966
2,NA,0.989045829666135,0.0289815285867182,1.02087062539642,0.02855112027122,1.00933741500207,0.0411193652753357
3,NA,1.00525129209453,0.0283580511322251,1.01356548505352,0.0280244792292512,0.970660180750438,0.0382640813012424
4,NA,0.996938085999078,0.0289287024824437,1.01466954432763,0.0286830928378464,0.998950581854786,0.0407809021318298
5,NA,1.01534434239809,0.029009415602514,0.994308631376198,0.0294665328822515,1.01663507893437,0.0445434753858709
