"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,0.992493416025575,0.054784618159219,1.3279941906051,0.0234476323208084,5.85878556761641,NA
2,NA,0.904741811502927,0.421953078497481,4.07332973137993,0.222609695165898,379.809732156627,NA
3,NA,1.40304505843274,0.317597652393911,2.64012317935293,0.130346247711852,209.231974125269,NA
4,NA,0.904144968714996,0.0497469784661755,1.40489977942376,0.0305132813942081,4.78536886730085,NA
5,NA,1.12823451543913,0.0763267347792252,1.39895539840346,0.0451335008399407,11.1543378826682,NA
