"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,0.958571129757404,0.0762317914237055,1.34213981632937,0.073947308112653,11.3527088520072,NA
2,NA,0.941391399144101,0.441623953579028,2.11593124570492,0.432127922440267,415.771082315613,NA
3,NA,1.26391854416019,0.335593412473489,1.82335188067733,0.325959398794849,233.600674858889,NA
4,NA,0.92324165912337,0.0608481152445357,1.21770460640969,0.0591873823393752,7.16004196371582,NA
5,NA,1.15465991663975,0.0862048151832143,1.1151913603389,0.0839854446537331,14.2333972677011,NA
