"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,0.952575148600329,0.0688331031084237,1.81907364315688,0.0546612222966401,9.2570121850497,NA
2,NA,0.957536397493645,0.437947586525242,3.30470905863667,0.346915676638148,409.142422175643,NA
3,NA,1.29131122965485,0.329258945864938,2.77092821848052,0.204072154089998,225.056217282099,NA
4,NA,0.904166023121778,0.0555674733088639,1.49974322728456,0.0450456117445213,5.97012933435995,NA
5,NA,1.14720697148123,0.0828289081205446,1.4484977647497,0.0711584091647021,13.1391433657145,NA
