"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,1.00454717500929,0.0350177642874166,1.22653987878859,0.0286538266213004,2.5290960623958,NA
2,NA,0.921797951843734,0.0405966915676235,1.3583594365249,0.0334667706199864,3.28663593031942,NA
3,NA,1.0377746072995,0.0355750475098388,1.28146691328794,0.0280292935076235,2.40813987060457,NA
4,NA,0.951559247250578,0.04222556884801,1.41819016900018,0.0364913312468122,3.53718822893031,NA
5,NA,1.03973402662155,0.0471347739097924,1.33848528248321,0.0394031559348562,4.46559951697612,NA
