"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.04034214864185,0.0273884519524571,1.00798220405701,0.0284418615507863,0.994532705393476,0.0398047030797056
2,NA,0.999321888370548,0.0256403680517391,0.990105611748483,0.0277231456283131,0.945612660593939,0.0379541887648955
3,NA,1.00421739814647,0.0278125969560507,0.969532565750871,0.0283487997177553,1.0221277011374,0.040433766712141
4,NA,0.982389129989308,0.0279514207378374,1.04030943491067,0.0284464874252528,0.971596792304817,0.0382538559029804
5,NA,0.999751827134569,0.0311347094009961,0.92647179258318,0.0294570413704223,1.05475751811552,0.0418264561664074
