"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.00814275190458,0.0227401697211483,1.0000249382763,0.0224825357471844,0.976429499151937,0.0334052920052768
2,NA,0.997256039041886,0.0226194570750563,0.989875317402449,0.022059774889509,0.989770339194476,0.0341835253250608
3,NA,1.0127711559572,0.0244393617612684,0.963201823190938,0.0232815023993923,1.02590250350212,0.0351299869378338
4,NA,0.989819542072191,0.0240550946241657,1.02971521257679,0.0227070910229766,0.98741978658164,0.0336566402684303
5,NA,0.979304586272992,0.0250837092230985,0.953157356496344,0.0225081094255178,1.0356221617278,0.0359525682504575
