"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,0.998607465619465,0.0303953614493594,1.17106844881396,0.0205363190714492,1.90630289264614,NA
2,NA,0.939264251466422,0.0360528270239335,1.25834430197629,0.0234876890815114,2.59439613153289,NA
3,NA,1.03300857864106,0.0318080304972738,1.1039027905236,0.0189448182341624,1.9256266473648,NA
4,NA,0.979600601653384,0.0350507670329014,1.24784452860078,0.0217014276958896,2.43522502046417,NA
5,NA,1.04358063117839,0.0418922497159028,1.20174644874318,0.0256708188301262,3.5273316338333,NA
