"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.04526385365085,0.0251147715521973,0.996113501141491,0.0259313486445032,0.987192538270877,0.0368298061928455
2,NA,0.990252102581175,0.0242720247039152,0.990729433374215,0.0247187031878941,0.96586980120748,0.0357725295764559
3,NA,1.01497729738755,0.0257679775555148,0.959367477006376,0.0251026514108604,1.01228354900076,0.0366421228833344
4,NA,0.982417325196748,0.0261269451181558,1.05408056564181,0.026569034077399,0.995417151189534,0.0368828345979416
5,NA,0.971681945659127,0.0273010246758337,0.942425672703658,0.0256922122930264,1.03414335112182,0.0384903262859138
