"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,0.992820020666337,0.048507922446671,1.02941215795326,0.0463470533395042,4.5422047972277,NA
2,NA,1.00922417911289,0.0349444656623632,1.03092140843651,0.0359398515661724,2.51569092803793,NA
3,NA,0.994341839020496,0.0406172878271884,1.00846936690279,0.0397893213059231,3.16724300056405,NA
4,NA,1.01331948908987,0.0320927552654836,1.05476138093044,0.0315233271149165,2.05718039904273,NA
5,NA,1.01609431500386,0.0464474771363718,1.03985790333562,0.0461403198343816,4.42277626115353,NA
