"sim","censored","beta1_fd_reml","se_beta1_fd_reml","alpha_fd_reml","se_alpha_fd_reml","sigma2_fd_reml","se_sigma2_fd_reml"
1,NA,1.04761519159397,0.0221593633687674,0.99347863594104,0.00953445767154729,0.993007801271325,NA
2,NA,1.01920780626393,0.0224792633205887,1.00284398648559,0.00921309098443731,1.04556579528991,NA
3,NA,1.00939597246553,0.0228794894320487,1.02724662742105,0.0131514601712532,1.04465653407004,NA
4,NA,1.01192233382147,0.0221465208250186,1.01117921131594,0.00798089239473824,0.996904265275388,NA
5,NA,0.997266368446967,0.0219030477278231,0.98339474321783,0.0102206193614201,0.984906586392163,NA
