"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,1.05760045536226,0.0390947377950796,0.545007619618344,0.022043303260949,3.0845182842975,NA
2,NA,1.08068374825236,0.0499767091564832,0.146251144366237,0.00891069971037781,5.17136955737785,NA
3,NA,1.0342018092123,0.0328948425475939,0.6325604017399,0.0197273991205957,2.15947149895066,NA
4,NA,1.01044437733086,0.0489861604178121,0.872275185616354,0.031518253121385,4.87350113866647,NA
5,NA,1.06494685960353,0.041955414140557,0.168589006471605,0.00947285460361505,3.61863668785069,NA
