"sim","censored","beta1_cmi_mi_reml","se_beta1_cmi_mi_reml","alpha_cmi_mi_reml","se_alpha_cmi_mi_reml","sigma2_cmi_mi_reml","se_sigma2_cmi_mi_reml"
1,NA,0.98333456565516,0.0387149692108195,0.948755156870214,0.0315133793464325,3.18575934809019,NA
2,NA,1.03584718802204,0.0484021989066074,0.952835858850821,0.0393408377262394,4.98243764754338,NA
3,NA,0.996853650170443,0.0449382467473204,0.550662445144066,0.0655254969488552,3.93103972848712,NA
4,NA,0.912650826288521,0.0362214768982192,0.492389643479335,0.0407922201266147,2.69465137908425,NA
5,NA,1.02154531259844,0.0464885515706579,0.229224997852576,0.0442635151575658,4.34826418194371,NA
