"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.01100998996224,0.0290603739808252,1.00257635145334,0.0292184903727032,1.08979181122478,0.0454026907516857
2,NA,1.00227480191164,0.0272977359394975,1.03968464967763,0.0288451380799594,1.01972611021787,0.0389128882792718
3,NA,0.963154976495477,0.0285894980614044,0.994446114691265,0.0292592739218841,1.02879558165844,0.0395946260192531
4,NA,0.979409048241767,0.028609150906338,1.00132850824009,0.0294402644900139,0.988441333077226,0.0381937555113476
5,NA,0.965462718403665,0.027811520424632,1.00323009484608,0.027110007919011,0.950802829699539,0.0380664594928125
