"sim","censored","beta1_cmi_correct_ace","se_beta1_cmi_correct_ace","alpha_cmi_correct_ace","se_alpha_cmi_correct_ace","sigma2_cmi_correct_ace","se_sigma2_cmi_correct_ace"
1,NA,1.03893239179091,0.0242088405297074,1.00044855588828,0.0227580241490963,1.01709842206968,0.0338480796418496
2,NA,1.01131570505601,0.0249845965797415,1.0323493167982,0.0205003269264336,1.01597222107736,0.0329890063713975
3,NA,0.999598115475479,0.0251733814468082,1.02072470688458,0.0230991407611577,1.0598114593823,0.0352430817419464
4,NA,1.00918118962385,0.0231824938472921,1.00313803349318,0.0221611435359542,0.999852708472394,0.0334601975911879
5,NA,0.999014198183614,0.0232700013665208,0.974100054558535,0.020416049116822,0.9882129302669,0.0332752264646141
