"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.435,0.25665907010168,0.0235512991954586,0.967071433747973,0.022242976646754,1.23503513902376,0.261819175535792,0.0215997181353464,1.01832502701781,0.0198587150649789,0.969913009855306
2,0.452,0.284995220957004,0.0217716181265181,0.991570400232162,0.0225239927725072,1.27455545257324,0.279555852380926,0.0211725627101377,1.02868265851342,0.0199016640186072,0.988781617109745
3,0.482,0.235528276758702,0.0229044757467,0.988951524769033,0.0224679356260666,1.40440061307473,0.217766209219307,0.0224528156254658,1.02816945529486,0.0205095533577387,1.06872235864271
4,0.459,0.277907962132856,0.0220676194364624,1.00357682497095,0.0222827443987602,1.30410549414268,0.275687042302619,0.0214994530233681,1.04732110344652,0.020470958329806,1.00762802853178
5,0.453,0.223885460244182,0.0215814792355521,1.02139694529512,0.0211390303426462,1.1892292500452,0.227413075233332,0.0211924966588131,1.0483207699028,0.0193488606907698,0.921420203974556
