"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.186,0.25744097426629,0.0217242780812837,0.977197983584368,0.0219453250646796,1.05359208531677,0.264805540357013,0.021469811796391,1.0698869067291,0.0194399519050143,0.965063112366267
2,0.2,0.248860155357594,0.020501459713991,0.996662567095459,0.0213658196725062,1.04030763284433,0.252695636231805,0.0209042596525992,1.06501761599544,0.0192078129621982,0.941763515310933
3,0.207,0.248649357867588,0.0232118326112445,0.978307241939731,0.0222636999783539,1.12616681074146,0.239280870596245,0.0214847695525555,1.05737969250837,0.0202151142907062,1.01689064612347
4,0.185,0.225218003353299,0.022511149589369,0.976597195213628,0.022780903814827,1.10425390823573,0.227115013800933,0.022481728291972,1.07554038109924,0.0203037536809257,1.01278828245462
5,0.192,0.255437206682978,0.0219527348734016,0.996129176006443,0.0221291032573098,1.07305574030115,0.254574618454755,0.0210794050029589,1.09305806298036,0.0196828631764935,0.980284576649764
