"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.186,0.257440974266336,0.0217242780813146,0.977197983585045,0.0219453250644334,1.05359208529445,0.26551019248325,0.0216006839764413,1.10550769284753,0.0206868361369791,0.972992030661929
2,0.196,0.257551919545561,0.0209561915740199,0.992746292187053,0.0207782161338147,1.05114971743815,0.26206403823735,0.0209489732144677,1.14010593497543,0.0205335842193305,0.970731030987768
3,0.187,0.240673883241751,0.0217685859575306,1.00998085515445,0.0227309918004061,1.12400735751651,0.239202085522489,0.0216607298631263,1.1603293183487,0.0212303545246258,1.04245312230475
4,0.201,0.26207771595345,0.0220866597356127,1.00841296426905,0.0229666001470703,1.12099529422881,0.267200055974448,0.0220179247524251,1.15590995757967,0.0210533431678342,1.03100658537885
5,0.207,0.233056886147688,0.0234087884902829,0.988913957552667,0.0226434880791104,1.1654279436135,0.233369124793246,0.0220764169819314,1.13150934916342,0.0215769216144985,1.06610738728944
